,sensor_id,lat,lon
45,20631,42.702594,23.329194
70,14392,42.678000000000004,23.372
78,19749,42.662,23.27
107,7450,42.688,23.36
112,12625,42.684,23.372
117,9675,42.656000000000006,23.291999999999998
155,7745,42.748000000000005,23.278000000000002
181,9266,42.646,23.331999999999997
184,6041,42.652,23.331999999999997
194,1304,42.674,23.354
242,14066,42.684,23.35
259,4178,42.65,23.348000000000003
262,12346,42.71,23.358
273,25796,42.66685001,23.36456867
354,20110,42.658,23.248
362,14070,42.666000000000004,23.284000000000002
413,20892,42.693999999999996,23.316
466,10349,42.656000000000006,23.388
499,4607,42.708,23.308000000000003
579,7021,42.663999999999994,23.406
602,11833,42.708,23.362
641,9284,42.708,23.278000000000002
689,27957,42.658,23.374000000000002
693,10615,42.684,23.288
721,20910,42.702,23.314
793,12802,42.7,23.278000000000002
797,11691,42.672,23.354
813,11416,42.69,23.33
818,10705,42.656000000000006,23.336
831,5471,42.684,23.351999999999997
854,21287,42.702,23.314
894,6023,42.653999999999996,23.296
945,20026,42.688,23.344
951,6463,42.693999999999996,23.281999999999996
973,9720,42.644,23.366
982,5549,42.716,23.256
991,22256,42.68600000000001,23.374000000000002
993,20619,42.72,23.252
1067,11350,42.698,23.342
1111,28501,42.714,23.256
1140,18606,42.678000000000004,23.36
1169,20061,42.71,23.31
1213,11338,42.684,23.252
1242,2888,42.708,23.281999999999996
1260,27209,42.668,23.386
1283,2261,42.692,23.324
1287,5325,42.706,23.322
1332,6095,42.698,23.298000000000002
1344,18789,42.65,23.386
1353,24273,42.678000000000004,23.38
1362,5299,42.67,23.258000000000003
1371,23658,42.666000000000004,23.326
1434,1100,42.672,23.288
1452,12790,42.678000000000004,23.31
1504,6832,42.653999999999996,23.378
1604,8074,42.676,23.372
1628,14845,42.688,23.33
1636,20623,42.736000000000004,23.346
1655,24873,42.648,23.37
1784,24277,42.692,23.314
1812,10001,42.669796,23.2684
1815,5662,42.692,23.364
1822,25431,42.71838865,23.24351905
1885,11052,42.666000000000004,23.381999999999998
1888,23846,42.646,23.331999999999997
1890,10945,42.648,23.368000000000002
1954,1102,42.653999999999996,23.375999999999998
1957,7641,42.658,23.276
2060,25081,42.66724794,23.28688783
2093,10731,42.68600000000001,23.244
2124,6422,42.708,23.288
2141,6029,42.681999999999995,23.375999999999998
2172,22291,42.663999999999994,23.24
2178,10987,42.672,23.23
2259,20611,42.68600000000001,23.364
2268,6850,42.728,23.296
2349,10074,42.68,23.288
2362,9489,42.733999999999995,23.288
2508,22935,42.716,23.311999999999998
2547,11044,42.714,23.272
2590,11096,42.648,23.258000000000003
2648,18166,42.688,23.404
2699,5912,42.684,23.355999999999998
2722,24679,42.6853,23.2932
2748,10461,42.656000000000006,23.374000000000002
2753,11807,42.64,23.38
2760,6089,42.66,23.316
2861,18877,42.708,23.378
2957,15049,42.724,23.25
3020,6227,42.696000000000005,23.28
3089,21874,42.706,23.344
3107,6388,42.653999999999996,23.36
3219,5229,42.67,23.328000000000003
3241,6223,42.726000000000006,23.342
3243,3831,42.662,23.288
3281,11414,42.714,23.244
3324,11749,42.656000000000006,23.236
3341,4468,42.666000000000004,23.291999999999998
3390,21870,42.711999999999996,23.375999999999998
3441,6424,42.641999999999996,23.384
3442,9773,42.67,23.316
3535,15055,42.674,23.284000000000002
3545,13040,42.728,23.288
3573,3435,42.693999999999996,23.36
3594,8291,42.724,23.308000000000003
3602,19295,42.7,23.342
3619,6586,42.68600000000001,23.362
3653,9336,42.714,23.246
3748,6465,42.69,23.364
3852,19545,42.66,23.288
3857,12076,42.676,23.261999999999997
3918,19072,42.698,23.344
3947,6529,42.688,23.366
3980,23163,42.692,23.362
4132,16792,42.662,23.35
4247,22254,42.684,23.322
4255,13398,42.674,23.26
4304,16450,42.708,23.31
4338,5377,42.676,23.254
4358,12100,42.678000000000004,23.334
4410,10953,42.676,23.266
4474,21872,42.663999999999994,23.264
4482,5297,42.668,23.25
4486,8482,42.668,23.311999999999998
4497,739,42.693999999999996,23.336
4547,8058,42.668,23.396
4552,6342,42.698,23.298000000000002
4606,5295,42.72,23.336
4628,7833,42.696000000000005,23.354
4636,23412,42.663999999999994,23.316
4670,17872,42.698,23.348000000000003
4779,6434,42.693999999999996,23.278000000000002
4813,12210,42.658,23.298000000000002
4831,3191,42.696000000000005,23.338
4842,6035,42.688,23.344
4877,8084,42.678000000000004,23.366
4888,6628,42.672,23.336
4938,21229,42.658,23.364
4984,6525,42.692,23.284000000000002
5006,21225,42.69,23.354
5135,11970,42.681999999999995,23.294
5162,24329,42.666000000000004,23.285999999999998
5197,19856,42.663999999999994,23.364
5218,6149,42.67,23.318
5233,4466,42.663999999999994,23.278000000000002
5243,6416,42.69,23.266
5250,10839,42.706,23.328000000000003
5261,4660,42.69,23.305999999999997
5361,10687,42.688,23.298000000000002
5381,20076,42.71,23.378
5393,11332,42.666000000000004,23.298000000000002
5422,20008,42.662,23.26
5490,15476,42.702,23.296
5495,3473,42.68,23.291999999999998
5521,7581,42.68,23.29
5538,8369,42.681999999999995,23.272
5541,5690,42.68,23.364
5578,3619,42.678000000000004,23.254
5587,5527,42.668,23.29
5736,3101,42.666000000000004,23.392
5751,6187,42.652,23.338
5759,5878,42.64,23.37
5780,9260,42.726000000000006,23.252
5829,5565,42.66,23.274
5874,11098,42.65,23.364
5891,13820,42.678000000000004,23.294
5940,10238,42.646,23.344
5952,13208,42.678000000000004,23.331999999999997
5953,5379,42.68,23.31
5982,10575,42.67,23.274
5992,11123,42.692,23.311999999999998
6003,11070,42.680864,23.296253
6058,11562,42.696000000000005,23.344
6141,19066,42.648,23.314
6144,8433,42.66,23.241999999999997
6146,7110,42.65,23.386
6157,22937,42.733999999999995,23.298000000000002
6191,3967,42.646,23.38
6193,9459,42.663999999999994,23.24
6196,12194,42.672,23.3
6197,7723,42.702,23.334
6240,6432,42.69,23.26
6255,2293,42.644,23.264
6257,11941,42.7,23.342
6314,8076,42.678000000000004,23.276
6370,20633,42.66,23.344
6381,11074,42.72973154,23.30805302
6484,4474,42.653999999999996,23.316
6491,6937,42.706,23.372
6540,20298,42.688,23.256
6555,3095,42.7,23.36
6561,6189,42.708,23.404
6629,7775,42.668,23.346
6634,6131,42.692,23.278000000000002
6737,6133,42.678000000000004,23.364
6788,11939,42.702,23.281999999999996
6885,20036,42.64,23.311999999999998
6998,6677,42.733999999999995,23.308000000000003
7000,24955,42.71,23.39
7047,5807,42.678000000000004,23.311999999999998
7058,1020,42.648,23.27
7061,8281,42.692,23.338
7112,12784,42.68,23.26
7115,13028,42.662,23.401999999999997
7117,4357,42.70399999999999,23.374000000000002
7165,6681,42.702,23.278000000000002
7188,3835,42.702,23.372
7210,7611,42.68600000000001,23.27
7311,6906,42.684,23.406
7396,7585,42.646,23.291999999999998
7399,11072,42.666516,23.400168
7429,5888,42.663999999999994,23.372
7450,6344,42.666000000000004,23.264
7453,12216,42.74,23.34
7506,12792,42.684,23.26
7514,22929,42.66,23.291999999999998
7562,19758,42.662,23.278000000000002
7572,6771,42.658,23.38
7574,8279,42.646,23.38
7582,14621,42.716,23.29
7624,16462,42.736000000000004,23.291999999999998
7633,13026,42.68,23.324
7642,3499,42.70399999999999,23.348000000000003
7669,11346,42.722,23.258000000000003
7680,5513,42.68,23.288
7738,3633,42.718,23.27
7805,787,42.708,23.311999999999998
7827,6527,42.663999999999994,23.256
7842,6191,42.693999999999996,23.29
7884,5776,42.668,23.346
7892,6679,42.663999999999994,23.346
7923,7169,42.656000000000006,23.311999999999998
7944,11673,42.70399999999999,23.351999999999997
7956,7181,42.724,23.298000000000002
7976,6384,42.69,23.31
8005,11877,42.676,23.268
8021,2263,42.672,23.31
8071,10651,42.742,23.266
8086,5708,42.68600000000001,23.305999999999997
8101,20104,42.714,23.31
8205,11968,42.698,23.316
8266,6533,42.698,23.331999999999997
8267,13963,42.652,23.314
8270,7979,42.736000000000004,23.298000000000002
8325,6392,42.674,23.281999999999996
8331,20118,42.716,23.305999999999997
8350,1471,42.644,23.336
8392,5293,42.693999999999996,23.34
8401,4414,42.67,23.398000000000003
8411,7835,42.658,23.298000000000002
8450,6127,42.672,23.256
8478,10098,42.656000000000006,23.374000000000002
8493,7743,42.706,23.328000000000003
8496,2322,42.68600000000001,23.4
8547,11681,42.64,23.31
8572,22646,42.726000000000006,23.268
8616,6781,42.67,23.284000000000002
8630,9461,42.66,23.261999999999997
8703,6731,42.674,23.256
8755,12794,42.666000000000004,23.296
8771,2039,42.68600000000001,23.35
8801,21227,42.658,23.302
8812,21231,42.672,23.316
14051,25317,42.71023877,23.31435889
14768,12218,42.646,23.344
52289,20112,42.711999999999996,23.35
60677,21010,42.714,23.274
156810,22650,42.646,23.4
270038,5499,42.7,23.304000000000002
357636,23175,42.652,23.331999999999997
609799,9276,42.678000000000004,23.244
643515,11606,42.706,23.351999999999997
813179,9866,42.68600000000001,23.241999999999997
822356,11336,42.676,23.331999999999997
873096,7623,42.698,23.336
968392,20020,42.693999999999996,23.318
1397112,2233,42.68600000000001,23.355999999999998
1455325,3641,42.6939572,23.3599283
1505573,3511,42.681999999999995,23.334
2696576,4620,42.688,23.318
3499252,24855,42.64285762,23.40946466
4143411,10607,42.652,23.368000000000002
8014257,11831,42.68600000000001,23.298000000000002
8900710,2215,42.663999999999994,23.372
9069796,28609,42.674,23.354
11695190,28625,42.668,23.364
13604091,20621,42.67,23.354
13772722,6350,42.678000000000004,23.3
16531903,6043,42.66,23.276
21895072,28716,42.648,23.326
23173700,27059,42.669431,23.2333509
23951338,3759,42.68600000000001,23.252
28353640,28764,42.666000000000004,23.28
30452618,24583,42.72694123,23.33974584
34102629,3091,42.6657,23.2844
34241422,12399,42.684,23.26
37175820,28864,42.646,23.374000000000002
38812387,9202,42.653999999999996,23.261999999999997
40490449,28910,42.641999999999996,23.31
41835860,9001,42.728,23.256
42899549,10021,42.711999999999996,23.37
44705579,10943,42.656000000000006,23.37
44789001,19988,42.706,23.281999999999996
45143962,3981,42.653999999999996,23.33
48108409,5906,42.68,23.328000000000003
49974502,21878,42.70399999999999,23.28
50459725,6139,42.663999999999994,23.284000000000002
58546310,8542,42.658,23.38
78272726,29196,42.641999999999996,23.381999999999998
93826001,6967,42.644,23.27
99222067,29334,42.68651285,23.34807694
107615786,29428,42.641999999999996,23.366
112854677,11913,42.676,23.284000000000002
121022918,29530,42.668,23.344
142226210,6087,42.68600000000001,23.354
152792209,2035,42.658,23.35
156419629,5563,42.70399999999999,23.304000000000002
